Transaction_ID,Customer_Name,Email,Phone_Number,Transaction_Date,Amount,Status,Country
64,Megan West,jfranklin@hodges.com,172-686-9091,28-12-2024,755.48,Complete,Norfolk Island
65,Kevin Jones,wpierce@lewis.biz,247.064.2862x4977,13-08-2024,662.73,Pending,Christmas Island
66,,henryperez@brown.com,689-973-3496,30-04-2023,476.11,Pending,Liberia
67,Alexander Barrera,brian64@lynch-hernandez.net,292.850.4796x26701,14-07-2024,533.99,Canceled,Portugal
68,Dawn Castillo,dburnett@yahoo.com,3737524026,25-04-2023,508.61,Refunded,Papua New Guinea
69,Kim Valdez,dwalters@boone-rodriguez.biz,041.348.5002,,712.76,Refunded,Kyrgyz Republic
70,Megan Harris,darlenesmith@hotmail.com,(827)894-5817x438,13-01-2025,172.49,Pending,American Samoa
71,Jill Rice,rhodesrebecca@yahoo.com,686.457.6655x9522,20-05-2023,340.49,Complete,Equatorial Guinea
72,,meaganharris@wallace.net,7628094491,17-06-2024,306.91,Pending,Latvia
73,Rachel Hays,halljames@gmail.com,462.134.9202x1347,20-07-2024,164.52,Complete,Bahamas
74,Charles Green,kathrynanderson@hotmail.com,4768367218,6/12/2024,358.76,Refunded,Liechtenstein
75,Leslie Perkins,elizabeth19@gmail.com,001-655-385-8012x6617,17-04-2024,201.01,Complete,Qatar
76,Felicia Parsons,bergerlisa@wright.com,+1-228-587-6640x5651,25-09-2023,896.23,Complete,Serbia
77,Gregory Hardy,shawnsanders@walsh-wallace.com,441.736.2535,15-11-2024,313.76,Complete,Togo
78,,fieldschristopher@mills.com,717-132-1052x352,5/6/2024,254.91,Complete,Palestinian Territory
79,Christine Sanchez,stephanie53@yahoo.com,769-001-5537x95652,1/2/2024,502.25,Complete,Saudi Arabia
80,Juan Henry,gregorymckay@smith.com,(531)706-3864,31-10-2023,766.49,Complete,Saint Barthelemy
81,Donald Mueller DDS,parkeralyssa@yahoo.com,(941)354-9176,6/4/2023,137.59,Refunded,New Zealand
82,Michael Jones,elizabeth43@yahoo.com,995-407-9284x42131,25-09-2024,300.92,Refunded,Norfolk Island
83,Ryan Riley,rodriguezmaurice@gmail.com,(731)014-4459x10848,25-10-2024,989.44,Refunded,Somalia
84,Michael Cline,jamiereyes@hotmail.com,834-389-8846,18-06-2023,167.82,Canceled,Ireland
85,Maria Hunt,lestermary@hotmail.com,546-109-3815x7069,4/11/2023,847.4,Refunded,Panama
86,Tiffany Cooper,benjamin80@hotmail.com,776-030-4724x53673,18-01-2025,304,Complete,Bulgaria
87,Angela Howard,xandersen@hotmail.com,(893)580-8173,26-03-2023,969.54,Complete,Grenada
88,Laura Williams,diazmaria@gmail.com,023-752-6228,,36.55,Canceled,Niue
89,Paul Davis,rachel17@thompson.com,(935)547-1146x93230,22-03-2025,,Refunded,Saint Lucia
90,Rick Harris,barronalicia@taylor.info,654.396.6167,13-03-2024,89.98,Complete,Cyprus
91,Sheila Smith,tammyschmitt@watkins.info,550-561-8831x7384,16-03-2024,294.77,Canceled,Comoros
92,Catherine Ingram,daltonjessica@phelps.com,694.039.8314x409,28-11-2024,858.25,Pending,Lao People's Democratic Republic
93,Rodney Smith,gstewart@gmail.com,937.273.4360x375,9/10/2024,976.91,Refunded,Vietnam
94,Rachel Davis,oconnorjeffrey@yahoo.com,2287576435,12/1/2024,660.7,Canceled,Guatemala
95,Monica Torres,christineaustin@hotmail.com,001-266-112-7850x422,14-04-2023,912.81,Canceled,Uzbekistan
96,James Hudson,omoore@hotmail.com,323-942-7680,2/4/2023,252.25,Complete,El Salvador
97,Theodore Davila,michellecrawford@davis.com,(695)807-1343x1568,27-09-2023,434.8,Complete,Slovakia (Slovak Republic)
98,Julie Simmons,gdaniels@hotmail.com,+1-954-451-3329x9552,,88.3,Refunded,Singapore
99,Donna Cruz,moralesjason@gmail.com,896.157.5285x712,19-08-2024,876.2,Pending,Switzerland
100,Donald Brooks,laura21@munoz-zavala.com,025-276-6147x409,4/11/2024,600.42,Pending,Guernsey
101,Donna Ball,ycole@hotmail.com,192.797.0984x625,30-06-2023,232.03,Complete,China
102,Hunter Smith,grahampatricia@yahoo.com,(220)914-5684,10/11/2024,-66.21,Complete,Turks and Caicos Islands
103,Kathleen Smith,mark77@hotmail.com,(382)578-1939x593,18-09-2023,583.62,Complete,Nigeria
104,Larry Hernandez,keithmiles@cohen.info,(917)425-0412,14-01-2024,169.03,Canceled,Estonia
105,James Giles,jonathan98@ross.com,+1 275 533 4108x560,27-08-2024,152.25,Refunded,Ecuador
106,Sarah Williams,nicolemoore@cruz.com,001-154-440-4991x218,18-03-2025,331.31,Canceled,British Indian Ocean Territory (Chagos Archipelago)
107,Antonio Manning,lle@harris-morris.net,001-481-599-8968x1824,22-03-2025,757.48,Refunded,Bulgaria
108,Jenna Patterson,michael51@hotmail.com,(019)833-4370x2680,6/5/2024,692.65,Canceled,El Salvador
109,Morgan Campbell,yvonneharvey@gmail.com,659-194-0524,16-07-2023,,Canceled,Sao Tome and Principe
110,David Bowen,ecarter@baldwin.info,037.819.8199x8198,21-01-2024,304.33,Pending,Marshall Islands
111,Benjamin Hall,jasmine13@mcclure.org,104.637.3630x9550,31-08-2023,856.57,Pending,Burkina Faso
112,Kyle Castillo,carolmoore@gmail.com,-6524,24-03-2023,3.75,Pending,Gibraltar
113,Jamie Williams,chiggins@reed-thomas.com,-2510,28-03-2023,673.88,Canceled,Burkina Faso
114,James Curtis,robertramirez@yahoo.com,659.342.3717x4462,9/2/2025,173.98,Pending,Turkey
115,,patrickvaldez@yahoo.com,145.851.8811x4349,24-04-2023,274.66,Refunded,Chile
116,Natalie Shepherd,normastrong@sims.com,102.833.0513x4784,13-11-2024,296.15,Canceled,Portugal
117,Christopher Armstrong,jcharles@gmail.com,(465)929-2868x09371,15-10-2024,640.99,Refunded,Barbados
118,Douglas Drake,uroberts@dixon.com,4261204889,2/3/2024,704.15,Refunded,Albania
119,Daniel Henderson,tuckertoni@campbell.com,001 772 086 3260x35912,4/12/2023,850.88,Complete,Turkmenistan
120,Walter Gomez,chadobrien#hotmail.com,801-336-4663x278,7/1/2025,972.06,Pending,Hungary
121,Ricardo Harrison,mharris@rose.com,-9838,12/12/2024,905.17,Canceled,Rwanda
122,Matthew Chavez,perkinsjennifer@yahoo.com,686-158-0781x632,3/10/2024,642.36,Complete,Austria
123,Carl Cooper Jr.,xhall@murphy.org,947-238-3580x87481,4/1/2025,-22.28,Complete,Syrian Arab Republic
124,Brandon Brown,fieldsjoseph@yahoo.com,991.367.4348x99855,2/10/2024,301.41,Canceled,Western Sahara
125,Judy Acosta,gsanchez@gmail.com,134-935-8214x516,29-10-2024,,Canceled,Norway
126,Kristi Brown,pittmanethan@duncan.com,(633)894-7873,17-02-2025,27.11,Pending,Panama
127,,dkeller#yahoo.com,2072829373,9/8/2024,-57.97,Refunded,Uzbekistan
128,Anthony Wright,fullermackenzie#fisher.biz,+1-976-404-7038x4567,16-03-2024,808.5,Canceled,Denmark
129,Vanessa Robbins,scottsilva@yahoo.com,-9510,26-09-2023,-51.48,Canceled,Lesotho
130,Jessica Stewart MD,gavinclements@yahoo.com,693-118-4992x58911,9/2/2025,-12.66,Canceled,United States of America
131,Nathan Mclean,thomas05@gmail.com,2524037496,20-01-2024,270.99,Pending,Germany
132,William Villanueva,veronicalandry#sanders.com,+1-674-922-0545x840,20-10-2023,90.32,Refunded,Montenegro
133,Joseph Smith,colemanjennifer@hotmail.com,(853)252-4788x85106,22-11-2023,-7.18,Refunded,Kiribati
134,Natasha Dunn,jpatrick@hotmail.com,366.866.4186x351,11/11/2024,18.61,Pending,Pitcairn Islands
135,Jennifer Shaw,kellymadden@gmail.com,+1-986-645-9745x361,4/1/2025,846.02,Refunded,Dominican Republic
136,Stephanie King,dhatfield@hotmail.com,001-253-619-9490x65430,8/11/2023,959.26,Canceled,Bhutan
137,Andre Hunter,williamshelen@russell.com,8776580425,22-08-2024,4.38,Canceled,Antigua and Barbuda
138,Michelle Maddox,oscarhoward@cline-bishop.org,606-589-0879x0339,16-01-2025,859.09,Pending,France
139,Mr. Herbert Bond,douglaslewis@yahoo.com,499-443-4356x33386,20-04-2024,564.32,Pending,Samoa
140,Sean Bailey,smithjack@gmail.com,185.933.7994x665,12/11/2023,541.14,Canceled,British Indian Ocean Territory (Chagos Archipelago)
141,Maria Rogers,ewilliams@hester.com,-7070,27-09-2024,163.57,Pending,
142,,jeffersonjose@jimenez.com,777.698.3227,23-12-2023,990.9,Canceled,Trinidad and Tobago
143,Leslie White,maryprice@yahoo.com,689.840.5332x224,19-03-2025,368.17,Complete,Portugal
144,Samuel Holden,valerie25@wang.com,(132)838-4148x9822,18-02-2025,832.24,Canceled,Singapore
145,Ashley Gonzalez,lshea@hotmail.com,564-026-6023,22-08-2023,623.17,Complete,Lesotho
146,Paul Thornton,ocallahan@hotmail.com,(686)992-7148x3747,8/6/2023,553.27,Refunded,Cuba
147,Robin Fuller,james27@hawkins.net,(198)347-7940,17-05-2023,59.86,Pending,Antarctica (the territory South of 60 deg S)
148,Stephen Mooney,smithamanda@yahoo.com,-5738,18-07-2023,661.5,Refunded,Azerbaijan
149,Vanessa Soto,cblevins@reed-meyers.com,-7103,14-06-2023,389.77,Pending,Turks and Caicos Islands
150,,averykristine@rivera.net,001 911 739 6060x30656,,201.29,Pending,Bangladesh
151,Frederick Hernandez,pwood@gmail.com,(478)640-6722x8277,4/4/2023,785.72,Pending,Mali
152,Jessica Adams,david09@hotmail.com,128-079-9722,12/3/2025,838.32,Pending,Morocco
153,,qmoore@yahoo.com,(290)545-9522x6626,16-01-2025,445.4,Pending,Mali
154,Kelly White,vhernandez@russell-scott.com,001-807-702-8948x485,18-01-2024,215.03,Complete,Maldives
155,Miss Tammy Maldonado MD,jerryblair@hotmail.com,868.968.3931,12/1/2024,236.61,Refunded,Switzerland
156,Nicole Escobar,fsmith@hotmail.com,+1-232-957-6132x774,11/5/2023,302.86,Complete,Palau
157,Mr. Keith Cole DDS,amywoodard@young.com,001-854-966-6568x43865,16-04-2024,938.65,Complete,United States Minor Outlying Islands
158,Brandon Carney,lee84@yahoo.com,+1-304-452-6949x752,27-07-2023,580.19,Canceled,Japan
159,Dillon Jordan,william32@gmail.com,001-693-905-3429x150,29-11-2024,49.74,Complete,Tajikistan
160,Miguel Carlson,pwright@hotmail.com,3552671810,8/9/2024,162.38,Refunded,Northern Mariana Islands
161,Curtis Dunn,debbiesanchez@hotmail.com,001-983-173-0023x550,31-01-2024,375.04,Pending,Indonesia
162,Cynthia Macias,corey81@oneal-hartman.com,737-606-9347x330,27-11-2024,857.66,Refunded,Trinidad and Tobago
163,Sarah Johnson,caldwellmiguel@gmail.com,(710)040-9539,7/6/2023,988.01,Complete,Cook Islands
164,Karina Harvey,zfisher@hotmail.com,505.051.3487x68123,21-11-2023,264.24,Pending,Haiti
165,Benjamin Bradley,christophersmith@gmail.com,771.634.9161,27-11-2023,282.21,Complete,
166,James Green,leefuller@hotmail.com,667-615-2139x18219,16-07-2024,507.07,Refunded,Burundi
167,Jason Hernandez,gomezangela@gmail.com,(519)792-7583x27718,25-12-2023,667.86,Pending,Czech Republic
168,James Jackson,xblackburn@cruz.com,-8846,7/3/2024,910.73,Complete,Barbados
169,James Cross,lperry@sellers.com,083.081.1455x918,28-02-2024,277.41,Canceled,Thailand
170,Angel Harris,cynthia50@yahoo.com,513-370-5257x14159,29-10-2023,65.26,Canceled,Netherlands
171,Katherine Casey,charles14@gmail.com,833-325-3919,2/12/2024,153.94,Refunded,Algeria
172,Tim Mcpherson,christineconley@yahoo.com,+1-357-780-4040x161,18-01-2025,864.52,Refunded,Zimbabwe
173,George Berger,reneemartinez@smith-kennedy.info,001-947-186-2934x513,1/4/2023,458.5,Pending,Tokelau
174,Laura Garrett,davidyoung@hotmail.com,001-826-225-1475x95266,27-01-2025,91.53,Complete,Georgia
175,Austin Marshall,qmorris@ray-vazquez.com,001-214-615-3524x5909,15-10-2023,-60.78,Complete,Mexico
176,Timothy Rivera,justin31@yahoo.com,728-313-3687x05701,16-08-2023,848.84,Complete,Syrian Arab Republic
177,Brandon Martinez,fweeks@guerra.com,(513)590-3401x2378,9/10/2023,40.36,Refunded,Cambodia
178,Jordan Bailey,jeffreybyrd@yahoo.com,001-734-407-9760x05629,,430.81,Canceled,Bosnia and Herzegovina
179,Eric Green,jessicamontoya@yahoo.com,(490)187-9225x75658,11/1/2025,333.43,Complete,Ireland
180,Kimberly Erickson,jeff04@gmail.com,508.817.6108x6075,21-11-2023,493.51,Complete,Iran
181,Andrea Cummings,pstevens@yahoo.com,001-484-270-6649x8948,17-08-2023,191.92,Refunded,Georgia
182,Leroy Fuller,navarrovanessa@yahoo.com,+1-721-102-5161x19990,19-08-2023,106.03,Pending,Holy See (Vatican City State)
183,Courtney Gillespie,lisabarnes@carey.com,(112)706-2752,,337.09,Refunded,Slovakia (Slovak Republic)
184,Jessica Rodriguez,richardphillips@robinson.info,337.815.2978x2220,19-03-2025,533.23,Canceled,Svalbard & Jan Mayen Islands
185,Alexandra Barnett,bjones@hotmail.com,(547)521-9979,,597.92,Pending,Zambia
186,Ann Woods,xwalker@gmail.com,(529)501-5591x7516,12/9/2023,452.69,Canceled,Ireland
187,Jacob Carter,ewhitney@hotmail.com,001-981-267-4759x1509,5/2/2024,-53.8,Pending,Jersey
188,Daniel Rodriguez,esparzamary@brown.com,001-348-407-3907x238,24-04-2024,455.03,Canceled,Netherlands Antilles
189,Alec Marsh,wcastaneda@yahoo.com,020-212-1211,30-09-2024,899,Refunded,Bangladesh
190,Michelle Mcknight,grodriguez@yahoo.com,-4325,5/6/2024,751.71,Pending,Kuwait
191,Sierra Liu,aguilaramy@jackson-morris.info,255.087.4763,10/10/2024,884.9,Canceled,Georgia
192,Aaron Anderson,xperkins@wang-morgan.com,886.595.3826,4/11/2024,420.19,Canceled,United Kingdom
193,Jaime Sanchez,darrenmcguire@gmail.com,001-288-842-6377x6461,27-12-2024,577.01,Complete,British Virgin Islands
194,Courtney Martin,carlabowman@booker-walton.com,551-979-7366,4/6/2024,710.29,Refunded,Liberia
195,Sara Davis,dillonjeremiah@moore-hale.com,(692)200-3079,28-10-2024,944.82,Complete,Hungary
196,Dr. Craig Boyd,mberger@yahoo.com,501.922.6882x18355,16-10-2024,-5.21,Complete,Papua New Guinea
197,Jessica Sanchez,lindseycassie@yahoo.com,681.738.4375x44429,11/12/2024,881.21,Refunded,Saint Barthelemy
198,Kristin Young,ashleerodriguez@gmail.com,001-562-314-2735x32291,24-01-2025,672.32,Canceled,San Marino
199,Gina Lewis,lauracasey@knight-schwartz.net,111.954.4895,4/4/2023,477.68,Refunded,Tanzania
200,Diana Kennedy,tracimullen@yahoo.com,001-844-829-4343,2/7/2024,301.74,Canceled,Sri Lanka
201,Maria Santos,evance@gmail.com,001-656-540-7754x491,6/4/2023,411.14,Complete,Mali
202,Amy Price,johnsontina@gomez.biz,(627)622-8845x006,8/7/2024,555.98,Complete,Saint Pierre and Miquelon
203,,joshua86@gmail.com,(755)693-0110,20-03-2025,,Complete,Saint Lucia
204,,bassjennifer@hotmail.com,549-089-2586x85234,29-03-2024,284.56,Canceled,Timor-Leste
205,,richardanderson@hotmail.com,(913)741-4437x971,7/7/2023,954.05,Complete,Maldives
206,Amanda Brooks,christopherwallace@francis-reeves.com,(043)568-8706x1103,8/7/2023,676.1,Complete,Turks and Caicos Islands
207,Kimberly Williams,jesusvalencia@blair-wilson.com,001-314-534-4461x315,29-03-2023,347.31,Canceled,Isle of Man
208,Larry Velazquez,sharper@callahan.biz,(056)784-8651x2409,17-09-2024,729.11,Refunded,Macedonia
209,Kenneth Hall,jessicalewis@gmail.com,+1-327-061-7574x057,,114.74,Pending,Hong Kong
210,Jessica Perry,charles02@mccormick.com,399.670.2897,22-07-2024,43.75,Complete,Nauru
211,Jennifer Odonnell,lmiles@pitts.info,-8270,3/12/2023,529.22,Canceled,Portugal
212,Peter Morris,mendezsara@hotmail.com,+1-496-616-1202x9757,9/10/2023,187.5,Pending,Lao People's Democratic Republic
213,Daniel Phillips,kpreston@richards.net,+1-128-287-0320x790,27-02-2025,377.9,Canceled,Croatia
214,Robert Rhodes,iwoods@hotmail.com,001-826-234-7774,23-04-2024,334.92,Canceled,Northern Mariana Islands
215,Robert Dean,jasonmiranda@higgins.org,166-247-0236,28-12-2024,544.74,Refunded,Ecuador
216,George Fernandez,bhaynes@young.com,224.967.6203,29-09-2023,169.75,Canceled,Qatar
217,,rhonda32@burton-campbell.com,432.446.0916x65369,27-08-2023,310.01,Pending,Panama
218,Robert Shaw,joseph21@yahoo.com,001-606-760-9617,14-08-2024,864.79,Pending,Finland
219,Amanda Reynolds,watsonhaley@lee-gilbert.net,487.222.8709x395,15-11-2023,824.51,Complete,Congo
220,Emily James,kellyandrew#norris-pierce.org,(673)013-6951x2938,14-01-2024,520.52,Pending,French Guiana
221,Eric Lambert,molly34@gmail.com,(632)711-5264x73219,24-05-2023,409.44,Complete,Korea
222,Craig Ibarra,juliagarcia@garcia.com,+1-617-765-6591x81397,,330.01,Pending,Grenada
223,Jonathan Montgomery,jfleming@smith.com,(660)059-1133x3656,28-04-2023,-44.47,Complete,Kuwait
224,Alexis Jackson,torresjake@gmail.com,+1-820-744-3157x6219,12/2/2024,485.7,Canceled,Jamaica
225,Mary Roberts,howellpamela@johnson-gonzalez.org,868.557.6440x99968,27-04-2024,598.04,Pending,Swaziland
226,Bryan Lozano,coxdanielle@vincent-lin.org,6916575632,15-12-2023,542.67,Canceled,Venezuela
227,Dr. Mary Francis DVM,hespinoza@wright.com,075.139.7025x553,19-10-2024,937.66,Canceled,Guyana
228,Lori Lang,jennifersmith@holt.com,+1-584-001-6420x3515,20-09-2024,737.36,Refunded,Mexico
229,Connie Smith,pmeyer@yahoo.com,454-782-5225x821,10/3/2025,-2.86,Refunded,Costa Rica
230,Alexandra Mosley,maria99@evans.com,001-294-946-1096x05897,1/6/2024,553.58,Complete,Mexico
231,Allison Hamilton,jennifer24@gmail.com,758.907.7496x4138,30-07-2024,537.24,Refunded,Montserrat
232,Molly Allen,yolandasteele@may-mcneil.biz,+1-360-520-2538x9177,17-09-2023,366.5,Refunded,Cayman Islands
233,Thomas Fisher,steven89@yahoo.com,8965245767,18-12-2023,67.15,Canceled,Nauru
234,Daniel Torres,karina22@hotmail.com,510.855.1115,6/12/2023,299.33,Canceled,Qatar
235,Candace Velasquez,elizabethhaynes@gmail.com,001-742-974-3416,18-04-2024,25.78,Pending,Dominica
236,Jill Bishop,allencarlos@hotmail.com,(566)887-1729x61186,25-03-2023,224,Refunded,Tuvalu
237,Lauren Stewart,melissalambert@price.com,(155)137-5685x886,5/10/2024,-49.87,Complete,Panama
238,Larry Kelley,robinsonjohn@gmail.com,065.786.6247,9/5/2023,629.06,Refunded,Namibia
239,Eric Flynn,jennifergreen@cox.info,001-017-942-2411x13180,18-12-2024,218.86,Complete,Saudi Arabia
240,Andre Jones,floressheri@yahoo.com,+1-428-112-5155x98176,1/12/2024,938.91,Complete,Japan
241,Kelsey Wallace,steeleelijah@stark-russell.com,+1-753-435-1966x1789,,212.69,Pending,Ethiopia
242,Brittany Thomas,phyllis88@yahoo.com,0101512480,19-10-2023,754.22,Complete,Cyprus
243,Daniel Robinson,annaphelps@gmail.com,551.638.8523,15-06-2023,569.35,Canceled,Gambia
244,Catherine Kim,john04@cannon.net,729-691-3422x23308,20-09-2023,-65.55,Pending,Faroe Islands
245,David Yoder,ccooper@barrera.info,854.280.5198x6634,,709.19,Pending,Czech Republic
246,Kristen Ryan,fpark@yahoo.com,501-261-4432,30-05-2023,28.46,Complete,Afghanistan
247,Tony Nguyen,john76@rodriguez-weber.biz,-3427,4/9/2024,441.04,Canceled,Russian Federation
248,,beckerkatie@dillon.com,+1-912-291-4838x7369,28-03-2024,698.88,Pending,Slovenia
249,Erica Kennedy,karen52@hotmail.com,+1-532-318-4961x1045,27-04-2023,496.99,Complete,Martinique
250,Nicole Christian,brookemckinney@hotmail.com,001-293-663-9582x9818,20-05-2024,827.26,Canceled,Pitcairn Islands
251,Timothy Chavez,lthornton@gmail.com,113-997-3768x969,23-08-2023,252.86,Refunded,Palau
252,Leonard Powell,mariefrost@yahoo.com,042.854.3014x03901,14-01-2025,115.72,Pending,Mauritius
253,Nancy Patton,codyanderson@hotmail.com,368-146-6276x6335,28-10-2024,373.34,Canceled,Guadeloupe
254,Ricardo Noble,julie89@gmail.com,066-850-8019x00854,26-10-2023,143.47,Complete,Portugal
255,,qlozano@rasmussen.com,(190)911-1442x720,22-03-2025,455.85,Canceled,Niger
256,Matthew Fuller,rallen@yahoo.com,+1-661-464-5799x300,9/4/2024,130.83,Complete,
257,Cheryl Bowman,ayerszachary@gutierrez.com,-9095,23-01-2025,-0.7,Complete,Qatar
258,Ashley Morgan,chloefreeman@yahoo.com,(199)100-2444,27-12-2023,266.8,Complete,Swaziland
